week,actors,cumulative
1,"[{'name': '@CNN', 'frequency': 1}, {'name': '@foxandfriends', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 38}, {'name': '@mike', 'frequency': 1}, {'name': '@NBC', 'frequency': 1}, {'name': '@greta', 'frequency': 1}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@J', 'frequency': 6}, {'name': '@The', 'frequency': 1}, {'name': '@mcuban', 'frequency': 3}, {'name': '@Chris', 'frequency': 3}, {'name': '@billmaher', 'frequency': 1}, {'name': '@gretawire', 'frequency': 1}, {'name': '@ApprenticeNBC', 'frequency': 3}, {'name': '@Lord', 'frequency': 4}]",66
2,"[{'name': '@seanhannity', 'frequency': 1}, {'name': '@foxandfriends', 'frequency': 2}, {'name': '@TigerWoods', 'frequency': 2}, {'name': '@EricTrump', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 30}, {'name': '@Mike', 'frequency': 2}, {'name': '@Trump', 'frequency': 2}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@TraceAdkins', 'frequency': 3}, {'name': '@AP', 'frequency': 2}, {'name': '@J', 'frequency': 5}, {'name': '@The', 'frequency': 1}, {'name': '@pennjillette', 'frequency': 3}, {'name': '@mcuban', 'frequency': 2}, {'name': '@Chris', 'frequency': 1}, {'name': '@ApprenticeNBC', 'frequency': 5}, {'name': '@TrumpGolfLA', 'frequency': 1}, {'name': '@trumpwinery', 'frequency': 1}, {'name': '@JUrciuoli19', 'frequency': 1}, {'name': '@LilJon', 'frequency': 2}, {'name': '@NYMag', 'frequency': 1}]",69
3,"[{'name': '@EricTrump', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 96}, {'name': '@mike', 'frequency': 1}, {'name': '@IvankaTrump', 'frequency': 2}, {'name': '@DonaldJTrumpJr', 'frequency': 1}, {'name': '@VanityFair', 'frequency': 4}, {'name': '@piersmorgan', 'frequency': 3}, {'name': '@Mike', 'frequency': 1}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@TraceAdkins', 'frequency': 4}, {'name': '@MELANIATRUMP', 'frequency': 1}, {'name': '@J', 'frequency': 10}, {'name': '@The', 'frequency': 4}, {'name': '@HowardStern', 'frequency': 2}, {'name': '@pennjillette', 'frequency': 3}, {'name': '@Newsmax', 'frequency': 1}, {'name': '@Chris', 'frequency': 2}, {'name': '@ApprenticeNBC', 'frequency': 7}, {'name': '@Lord', 'frequency': 3}, {'name': '@LilJon', 'frequency': 4}, {'name': '@DannyZuker', 'frequency': 26}, {'name': '@ForQ2', 'frequency': 6}]",183
4,"[{'name': '@washingtonpost', 'frequency': 1}, {'name': '@FoxNews', 'frequency': 1}, {'name': '@marklevinshow', 'frequency': 1}, {'name': '@TeamCavuto', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 63}, {'name': '@nypost', 'frequency': 1}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@VanityFair', 'frequency': 2}, {'name': '@AC360', 'frequency': 1}, {'name': '@ericbolling', 'frequency': 1}, {'name': '@Trump', 'frequency': 3}, {'name': '@MELANIATRUMP', 'frequency': 2}, {'name': '@J', 'frequency': 4}, {'name': '@The', 'frequency': 2}, {'name': '@David', 'frequency': 2}, {'name': '@Macys', 'frequency': 2}, {'name': '@Newsmax', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@TrumpChicago', 'frequency': 1}, {'name': '@TrumpCollection', 'frequency': 1}, {'name': '@nfl', 'frequency': 1}, {'name': '@bahia6085', 'frequency': 1}, {'name': '@LilJon', 'frequency': 2}, {'name': '@DannyZuker', 'frequency': 2}, {'name': '@fundanything', 'frequency': 2}, {'name': '@VattenfallGroup', 'frequency': 6}]",106
5,"[{'name': '@FoxNews', 'frequency': 1}, {'name': '@BreitbartNews', 'frequency': 2}, {'name': '@EricTrump', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 28}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@DonaldJTrumpJr', 'frequency': 1}, {'name': '@VanityFair', 'frequency': 2}, {'name': '@Trump', 'frequency': 6}, {'name': '@J', 'frequency': 5}, {'name': '@NRO', 'frequency': 1}, {'name': '@Macys', 'frequency': 2}, {'name': '@FoxNewsInsider', 'frequency': 1}, {'name': '@AmSpec', 'frequency': 1}, {'name': '@mboyle1', 'frequency': 1}, {'name': '@Newsmax', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@TrumpPanama', 'frequency': 2}, {'name': '@TrumpChicago', 'frequency': 3}, {'name': '@TrumpNewYork', 'frequency': 1}, {'name': '@not', 'frequency': 1}, {'name': '@MissUSA', 'frequency': 1}, {'name': '@Yankees', 'frequency': 1}, {'name': '@fundanything', 'frequency': 1}]",65
6,"[{'name': '@CNN', 'frequency': 2}, {'name': '@foxandfriends', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 36}, {'name': '@WashTimes', 'frequency': 2}, {'name': '@IvankaTrump', 'frequency': 2}, {'name': '@DonaldJTrumpJr', 'frequency': 2}, {'name': '@RealDonaldTrump', 'frequency': 1}, {'name': '@piersmorgan', 'frequency': 1}, {'name': '@Mike', 'frequency': 1}, {'name': '@Trump', 'frequency': 3}, {'name': '@realdonaldtrump', 'frequency': 2}, {'name': '@J', 'frequency': 4}, {'name': '@Macys', 'frequency': 4}, {'name': '@BarbaraJWalters', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 1}, {'name': '@BarackObama', 'frequency': 1}, {'name': '@Newsmax', 'frequency': 1}, {'name': '@Chris', 'frequency': 3}, {'name': '@TrumpGolfLA', 'frequency': 2}, {'name': '@Lord', 'frequency': 1}, {'name': '@DannyZuker', 'frequency': 10}, {'name': '@VattenfallGroup', 'frequency': 3}]",85
7,"[{'name': '@FoxNews', 'frequency': 1}, {'name': '@EricTrump', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 25}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@DonaldJTrumpJr', 'frequency': 1}, {'name': '@greta', 'frequency': 1}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@J', 'frequency': 4}, {'name': '@The', 'frequency': 1}, {'name': '@SarahPalinUSA', 'frequency': 1}, {'name': '@MissUniverse', 'frequency': 2}, {'name': '@mboyle1', 'frequency': 1}, {'name': '@gretawire', 'frequency': 1}, {'name': '@not', 'frequency': 1}, {'name': '@MissUSA', 'frequency': 5}, {'name': '@JustinRose99', 'frequency': 1}, {'name': '@DannyZuker', 'frequency': 5}]",53
8,"[{'name': '@CNN', 'frequency': 1}, {'name': '@GOP', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 32}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@DonaldJTrumpJr', 'frequency': 1}, {'name': '@ericbolling', 'frequency': 1}, {'name': '@Trump', 'frequency': 8}, {'name': '@EWErickson', 'frequency': 1}, {'name': '@J', 'frequency': 4}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 1}, {'name': '@TrumpToronto', 'frequency': 1}, {'name': '@Newsmax', 'frequency': 1}, {'name': '@billmaher', 'frequency': 1}, {'name': '@TrumpLasVegas', 'frequency': 1}, {'name': '@TrumpNewYork', 'frequency': 1}, {'name': '@TrumpCollection', 'frequency': 1}, {'name': '@theFAMiLYLEADER', 'frequency': 2}]",60
9,"[{'name': '@CNN', 'frequency': 1}, {'name': '@FoxNews', 'frequency': 1}, {'name': '@EricTrump', 'frequency': 2}, {'name': '@thehill', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 88}, {'name': '@nypost', 'frequency': 1}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@Mike', 'frequency': 3}, {'name': '@Trump', 'frequency': 2}, {'name': '@realdonaldtrump', 'frequency': 1}, {'name': '@J', 'frequency': 8}, {'name': '@The', 'frequency': 2}, {'name': '@MissUniverse', 'frequency': 1}, {'name': '@Forbes', 'frequency': 2}, {'name': '@nbc', 'frequency': 1}, {'name': '@mcuban', 'frequency': 2}, {'name': '@Chris', 'frequency': 1}, {'name': '@billmaher', 'frequency': 1}, {'name': '@TrumpSoHo', 'frequency': 1}, {'name': '@Yankees', 'frequency': 1}]",121
10,"[{'name': '@foxandfriends', 'frequency': 1}, {'name': '@FoxNews', 'frequency': 1}, {'name': '@BreitbartNews', 'frequency': 1}, {'name': '@EricTrump', 'frequency': 1}, {'name': '@realDonaldTrump', 'frequency': 78}, {'name': '@mike', 'frequency': 2}, {'name': '@IvankaTrump', 'frequency': 1}, {'name': '@morningmika', 'frequency': 1}, {'name': '@Trump', 'frequency': 4}, {'name': '@realdonaldtrump', 'frequency': 2}, {'name': '@J', 'frequency': 10}, {'name': '@The', 'frequency': 4}, {'name': '@TrumpDoral', 'frequency': 1}, {'name': '@NRO', 'frequency': 1}, {'name': '@TIME', 'frequency': 1}, {'name': '@TrumpTowerNY', 'frequency': 1}, {'name': '@mcuban', 'frequency': 1}, {'name': '@AmSpec', 'frequency': 1}, {'name': '@mboyle1', 'frequency': 1}, {'name': '@Chris', 'frequency': 1}, {'name': '@TrumpGolfLA', 'frequency': 2}, {'name': '@kyleraccio', 'frequency': 2}, {'name': '@nikkio', 'frequency': 1}, {'name': '@MissUSA', 'frequency': 1}, {'name': '@trumpwinery', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 1}, {'name': '@Yankees', 'frequency': 1}, {'name': '@ArsenioHall', 'frequency': 1}, {'name': '@fundanything', 'frequency': 2}]",126
